ABC,MCMC,SMC
0.101288,1.558942,0.792786
0.101387,1.542951,0.82759
0.097449,1.532756,0.78897
0.134863,1.530427,0.791123
0.10205,1.547847,0.792832
0.102363,1.55729,0.870288
0.101031,1.557757,0.790356
0.101501,1.538937,0.790731
0.134126,1.525862,0.789792
0.136205,1.543688,0.794691
0.102244,1.557644,0.791661
0.1009,1.524384,0.792574
0.101289,1.538521,0.791332
0.100963,1.515495,0.792649
0.134132,1.50414,0.793016
0.136298,1.516254,0.791215
0.101353,1.597134,0.808568
0.101696,1.538261,0.793167
0.10238,1.526282,0.83014
0.09826,1.522899,0.793037
0.135597,1.498227,0.789058
0.10129,1.547583,0.793576
0.101289,1.544496,0.79344
0.102491,1.510808,0.824054
0.100017,1.501987,0.789226
0.13529,1.545364,0.792659
0.101026,1.555687,0.79328
0.101003,1.63314,0.791835
0.101146,1.521937,0.826566
0.100058,1.549128,0.789737
0.134789,1.529084,0.793095
0.100757,1.557083,0.794323
0.100857,1.569701,0.794636
0.101816,1.537599,0.825463
0.099343,1.546719,0.791938
0.135843,1.525983,0.790457
0.107735,1.580263,0.793144
0.100438,1.541221,0.78945
0.101078,1.608424,0.785157
0.133818,1.515972,0.790532
0.137872,1.513742,0.786818
0.101191,1.557736,0.789298
0.101052,1.561882,0.789904
0.102087,1.492661,0.789435
0.133456,1.533479,0.791952
0.101163,1.590965,0.794043
0.101975,1.542738,0.794818
0.102524,1.456537,0.826273
0.097332,1.528096,0.793081
0.136747,1.605665,0.903528
0.10171,1.598598,0.801508
0.102336,1.609452,0.803419
0.100531,1.562817,0.802683
0.134726,1.537868,0.799873
0.105147,1.552416,0.806647
0.102623,1.562121,0.800326
0.101388,1.52854,0.797579
0.134322,1.553491,0.792861
0.100348,1.581053,0.798946
0.105255,1.565764,0.798987
0.101659,1.614855,0.800296
0.133776,1.543232,0.801742
0.09986,1.545152,0.80175
0.104219,1.584343,0.799825
0.101865,1.55444,0.798833
0.133707,1.51352,0.795165
0.101364,1.596846,0.802094
0.10497,1.577763,0.800755
0.10203,1.540686,0.800153
0.134412,1.546476,0.795996
0.100623,1.560206,0.802716
0.102978,1.649,0.799318
0.10496,1.581278,0.802033
0.134254,1.54919,0.807682
0.100414,1.551244,0.800075
0.104691,1.55805,0.79616
0.102709,1.539383,0.799911
0.135504,1.544199,0.796253
0.100718,1.572649,0.801343
0.104961,1.564131,0.79963
0.101453,1.531957,0.799716
0.136736,1.540365,0.859869
0.121836,1.593228,0.800609
0.106215,1.527707,0.800574
0.136536,1.542552,0.800546
0.10349,1.583597,0.803121
0.101225,1.5844,0.801246
0.10714,1.539219,0.802445
0.137748,1.509584,0.805126
0.100575,1.576404,0.799948
0.101578,1.553349,0.840826
0.100739,1.529906,0.800434
0.141087,1.518407,0.883129
0.102001,1.593683,0.801897
0.101875,1.557306,0.794852
0.136227,1.500238,0.802059
0.105573,1.55533,0.803773
0.101489,1.544136,0.838302
0.097789,1.543256,0.798643
0.100658,1.598055,0.801603
0.106405,1.615663,0.803623
0.102238,1.5409,0.799254
0.136242,1.537192,0.801896
0.101111,1.638622,0.855464
0.101527,1.568615,0.800055
0.134265,1.53807,0.797715
0.100423,1.589645,0.800695
0.106095,1.532497,0.839201
0.098272,1.546941,0.79946
0.100571,1.60397,0.802147
0.10079,1.548615,0.798622
0.104288,1.510016,0.796889
0.140144,1.532669,0.799716
0.100951,1.574215,0.803509
0.102406,1.634899,0.797641
0.13771,1.574103,0.801164
0.100673,1.585132,0.802186
0.101407,1.522016,0.798406
0.134207,1.50267,0.799179
0.10134,1.55286,0.801817
0.105531,1.52755,0.798705
0.136224,1.528544,0.801423
0.100603,1.557349,0.806489
0.101502,1.563321,0.803427
0.136651,1.531277,0.807814
0.107145,1.676377,0.806377
0.10154,1.552836,0.840239
0.098802,1.540241,0.804336
0.10581,1.577133,0.805713
0.101923,1.542909,0.839691
0.096884,1.543816,0.800253
0.100991,1.572488,0.807391
0.107823,1.534955,0.801345
0.135727,1.548199,0.804724
0.101298,1.548316,0.804872
0.102228,1.528657,0.797763
0.146297,1.61271,0.802063
0.101424,1.591199,0.803168
0.101556,1.545886,0.804461
0.134827,1.54652,0.803147
0.106955,1.638944,1.220866
0.093936,1.395877,0.694801
0.10993,1.410282,0.712951
0.092684,1.443567,0.701936
0.106265,1.412045,0.714533
0.094448,1.426003,0.695095
0.107484,1.401475,0.708213
0.095186,1.437456,0.737507
0.107063,1.429635,0.713087
0.091825,1.414585,0.702377
0.111522,1.383419,0.707978
0.091919,1.405351,0.711169
0.107128,1.420805,0.703753
0.104616,1.425059,0.717796
0.092407,1.440946,0.699278
0.108517,1.434838,0.727083
0.095295,1.423631,0.713423
0.107284,1.417645,0.711031
0.092395,1.448406,0.708331
0.094691,1.43916,0.759705
0.107209,1.38932,0.711733
0.091668,1.410591,0.712247
0.107851,1.409433,0.713904
0.092315,1.378485,0.710433
